sample_id,crop_path,dataset,unified_label,lane,quality_flags,blur_var,mean_brightness,contrast_std,width,height,rejection_reason,human_verdict,human_note
kaggle_cracks:data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/16975_1.jpg#0,data/raw/kaggle_infrastructure_structural_defects/Cracks/Positive/16975_1.jpg,kaggle_cracks,crack,baseline,blur,17.51,165.41,20.4,227,227,quality_outlier:blur,,
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-0031_png.rf.61a13efd97c2401a7a90502c52f8b397.jpg#3,roboflow_wallpaper_kr/ablation/-0031_png.rf.61a13efd97c2401a7a90502c52f8b397_3.jpg,roboflow_wallpaper_kr,finish_damage,ablation,dark,213.02,86.75,8.09,128,128,quality_outlier:dark,,
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-1281_png.rf.30c7d2678c7402abd511bb7ae04e72f1.jpg#0,roboflow_wallpaper_kr/ablation/-1281_png.rf.30c7d2678c7402abd511bb7ae04e72f1_0.jpg,roboflow_wallpaper_kr,breakage,ablation,washed_out,436.54,217.13,15.82,128,128,quality_outlier:washed_out,,
aihub_567:data/raw/aihub_seoul_aged_housing/sample_apartment_crack/원천데이터/TS_아파트/구조물(균열)/우수/RGB/S-211116_A_C_1_R_9636018-12.jpg#0,aihub_567/review_only/S-211116_A_C_1_R_9636018-12_0.jpg,aihub_567,crack,review_only,,4075.16,177.66,47.86,1080,1080,legacy_annotation_error,,
roboflow_house_defect:data/raw/roboflow_house_defect/valid/images/38978_img2_jpg.rf.5adfa27ca0c28e85259d361a74af6c09.jpg#1,roboflow_house_defect/ablation/38978_img2_jpg.rf.5adfa27ca0c28e85259d361a74af6c09_1.jpg,roboflow_house_defect,mold,ablation,dark,18.88,83.31,41.69,352,352,quality_outlier:dark,,
roboflow_wallpaper_kr:data/raw/roboflow_wallpaper_kr/v2/train/images/-0046_png.rf.d64eb5de6692f9328d1abc70720958f0.jpg#0,roboflow_wallpaper_kr/ablation/-0046_png.rf.d64eb5de6692f9328d1abc70720958f0_0.jpg,roboflow_wallpaper_kr,finish_damage,ablation,washed_out,2185.76,208.95,32.51,128,128,quality_outlier:washed_out,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/면불량/37.png#0,data/raw/dacon_wallpaper/open/train/면불량/37.png,dacon_wallpaper,finish_damage,baseline,washed_out,123.99,200.3,17.12,627,571,quality_outlier:washed_out,,
"aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(박리, 박락)/불량/RGB/S-211113_A_P_3_R_2254220-16.jpg#2",aihub_567/baseline/S-211113_A_P_3_R_2254220-16_2.jpg,aihub_567,breakage,baseline,washed_out,452.67,232.8,19.29,274,274,quality_outlier:washed_out,,
roboflow_house_defect:data/raw/roboflow_house_defect/train/images/18_png_jpg.rf.5c56b6987919a31838d9fbd3f9766270.jpg#0,roboflow_house_defect/ablation/18_png_jpg.rf.5c56b6987919a31838d9fbd3f9766270_0.jpg,roboflow_house_defect,breakage,ablation,dark,125.71,74.07,16.3,238,238,quality_outlier:dark,,
aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(철근 노출)/불량/RGB/S-211113_A_X_3_R_2254211-12.jpg#0,aihub_567/baseline/S-211113_A_X_3_R_2254211-12_0.jpg,aihub_567,breakage,baseline,dark,292.89,23.75,22.75,335,335,quality_outlier:dark,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/훼손/147.png#0,data/raw/dacon_wallpaper/open/train/훼손/147.png,dacon_wallpaper,breakage,baseline,dark,445.32,100.25,19.61,625,616,quality_outlier:dark,,
"aihub_567:data/raw/aihub_seoul_aged_housing/add_apartment_2023_rgb/images/구조물(박리, 박락)/우수/RGB/S-211123_A_P_1_R_96362277-8.jpg#0",aihub_567/review_only/S-211123_A_P_1_R_96362277-8_0.jpg,aihub_567,breakage,review_only,,1778.27,146.21,78.36,1080,1080,legacy_annotation_error,,
aihub_567:data/raw/aihub_seoul_aged_housing/sample_apartment_crack/원천데이터/TS_아파트/구조물(균열)/불량/RGB/S-210902_A_C_3_R_4745002-8.jpg#1,aihub_567/baseline/S-210902_A_C_3_R_4745002-8_1.jpg,aihub_567,crack,baseline,low_contrast,127.28,157.11,6.57,473,473,quality_outlier:low_contrast,,
aihub_567:data/raw/aihub_seoul_aged_housing/sample_apartment_crack/원천데이터/TS_아파트/구조물(균열)/불량/RGB/S-211107_A_C_3_R_2254126-9.jpg#2,aihub_567/baseline/S-211107_A_C_3_R_2254126-9_2.jpg,aihub_567,crack,baseline,washed_out,1151.69,235.66,16.51,153,153,quality_outlier:washed_out,,
dacon_wallpaper:data/raw/dacon_wallpaper/open/train/훼손/433.png#0,data/raw/dacon_wallpaper/open/train/훼손/433.png,dacon_wallpaper,breakage,baseline,dark,114.26,59.6,18.11,626,625,quality_outlier:dark,,
