source_dataset,original_label,unified_label,l2_service_group,l3_detail_label,note
aihub_567,구조물(균열),crack,,,
aihub_567,"구조물(박리, 박락)",breakage,,,
aihub_567,구조물(철근 노출),breakage,,,
aihub_567,대지,,,,excluded_no_l1_mapping
aihub_567,마감,,,,excluded_no_l1_mapping
aihub_567,생활,,,,excluded_no_l1_mapping
aihub_567,창호,,,,excluded_no_l1_mapping
dacon_wallpaper,가구수정,finish_damage,furniture_gap,가구수정,
dacon_wallpaper,걸레받이수정,finish_damage,molding_baseboard_damage,걸레받이수정,
dacon_wallpaper,곰팡이,mold,mold_moisture,곰팡이,
dacon_wallpaper,꼬임,finish_damage,wallpaper_damage,꼬임,
dacon_wallpaper,녹오염,stain_corrosion,stain_discoloration,녹오염,
dacon_wallpaper,들뜸,lifting,wallpaper_damage,들뜸,
dacon_wallpaper,면불량,finish_damage,wallpaper_damage,면불량,
dacon_wallpaper,몰딩수정,finish_damage,molding_baseboard_damage,몰딩수정,
dacon_wallpaper,반점,stain_corrosion,stain_discoloration,반점,
dacon_wallpaper,석고수정,breakage,wall_hole,석고수정,
dacon_wallpaper,오염,stain_corrosion,stain_discoloration,오염,
dacon_wallpaper,오타공,breakage,wall_hole,오타공,
dacon_wallpaper,울음,lifting,wallpaper_damage,울음,
dacon_wallpaper,이음부불량,finish_damage,wallpaper_damage,이음부불량,
dacon_wallpaper,"창틀,문틀수정",finish_damage,window_door_frame,"창틀,문틀수정",
dacon_wallpaper,터짐,breakage,wallpaper_damage,터짐,
dacon_wallpaper,틈새과다,finish_damage,furniture_gap,틈새과다,
dacon_wallpaper,피스,breakage,wall_hole,피스,
dacon_wallpaper,훼손,breakage,wallpaper_damage,훼손,
kaggle_cracks,Negative,normal,,,
kaggle_cracks,Positive,crack,,,
mvtec_ad,tile/crack,crack,,,
mvtec_ad,tile/glue_strip,finish_damage,,,
mvtec_ad,tile/gray_stroke,stain_corrosion,,,
mvtec_ad,tile/oil,stain_corrosion,,,
mvtec_ad,tile/rough,finish_damage,,,
mvtec_ad,wood/color,stain_corrosion,,,
mvtec_ad,wood/combined,,,,excluded_no_l1_mapping
mvtec_ad,wood/hole,breakage,,,
mvtec_ad,wood/liquid,moisture_leak,,,
mvtec_ad,wood/scratch,finish_damage,,,
roboflow_house_defect,baseboard,,,,excluded_no_l1_mapping
roboflow_house_defect,bottle,,,,excluded_no_l1_mapping
roboflow_house_defect,fungus,mold,,,
roboflow_house_defect,hole,breakage,,,
roboflow_house_defect,radiator,,,,excluded_no_l1_mapping
roboflow_house_defect,rip,breakage,,,
roboflow_house_defect,window,,,,excluded_no_l1_mapping
roboflow_wall_defects,corrosion,stain_corrosion,,,
roboflow_wall_defects,crack,crack,,,
roboflow_wall_defects,deterioration,breakage,,,
roboflow_wall_defects,moisture,moisture_leak,,,
roboflow_wall_defects,mold,mold,,,
roboflow_wall_defects,stain,stain_corrosion,,,
roboflow_wallpaper_kr,baseboard_repair,finish_damage,,,
roboflow_wallpaper_kr,damage,breakage,,,
roboflow_wallpaper_kr,furniture_repair,finish_damage,,,
roboflow_wallpaper_kr,lifting,lifting,,,
roboflow_wallpaper_kr,mold,mold,,,
roboflow_wallpaper_kr,rust_stain,stain_corrosion,,,
roboflow_wallpaper_kr,surface_defect,finish_damage,,,
